Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.18,3 시즌 13 주 3 일,1010,2,6,6,6,20,TRUE,1,4,5,3,6,6,3,612,2018-10-10,5.5,FW,300000,32,3.76,5.59,5.62,5.74,5.66,5.91,5.72,6.07,6.01,6.46,6.72,6.77,6.5,0,FWd,6.77
31,Česká republika,,397610518,Head,,31.0,3 시즌 4 주 2 일,13170,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,901,2018-10-10,6,IM,1632000,42,4.96,9.01,8.75,9.35,8.53,10.15,9.5,10.15,8.54,9.89,7.22,8.41,6.39,0,CD,10.15
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.67,2 시즌 10 주 2 일,11080,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1151,2018-10-10,4.5,W,1950000,0,5.11,9.4,8.77,8.89,8.14,9.05,9.34,7.88,6.24,5.81,4.7,0,4.72,4.73,WBd,9.4
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,20.31,1 시즌 14 주 2 일,2310,2,1,6,7,20,TRUE,1,8,5,4,5,4,2,800,2018-10-14,4,CD,390000,9,3.96,7.33,7.03,7.15,6.74,7.31,7.36,6.82,5.97,5.95,5.21,5.43,5.12,0,CDtw,7.36
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.47,1 시즌 9 주 3 일,2850,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,902,2018-10-14,4.5,CD,490000,4,4.52,7.93,7.46,7.61,6.99,7.81,7.94,7,5.8,5.64,4.43,4.94,4.33,0,CDtw,7.94
60,Hanguk,Chu-Seok Ahn,435761718,,,19.34,1 시즌 8 주 2 일,1020,3,1,6,6,20,TRUE,1,4,5,3,3,7,5,717,2018-10-14,4.5,FW,370000,3,2.77,4.53,4.56,4.68,4.59,4.84,4.65,4.99,4.7,5.15,5.56,5.1,5.37,0,FW,5.56
61,Schweiz,Francois Baumgartner,434542904,,Y×1,19.14,1 시즌 8 주 1 일,9590,5,2,6,7,14,FALSE,1,9,7,6,7,6,3,890,2018-10-14,4.5,CD,948000,6,3.83,8.08,7.88,7.98,7.67,8.12,8.13,7.79,7.17,7.21,6.57,6.79,6.47,0,CDtw,8.13
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,36.1,1 시즌 7 주 2 일,6810,6,9,8,5,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-10,6.5,W,2208000,93,4.53,10.11,10.34,10.36,10.58,10.39,10.19,10.88,10.71,10.73,7.57,8.19,7.63,0,IMd,10.97
64,Hanguk,Koo-Joong Kim,435928762,,,19.25,1 시즌 6 주 3 일,4920,3,2,6,7,20,TRUE,1,10,4,3,2,2,3,1009,2018-10-10,5.5,CD,1130000,3,4.76,8.49,7.94,8.1,7.38,8.33,8.5,7.35,5.7,5.47,4,4.15,3.94,0,CDtw,8.5
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.45,11 주 2 일,4370,3,1,6,6,20,TRUE,1,9,3,3,6,5,3,923,2018-10-10,4,WB,670000,0,4.03,7.17,6.66,6.75,6.15,6.88,7.12,5.94,4.9,4.65,4.86,4.88,4.81,0,WBd,7.17
68,Sverige,Elmin Polovina,436113582,,,18.31,8 주 0 일,5580,2,2,8,5,8,FALSE,1,8,7,6,6,5,3,800,2018-10-10,4,CD,564000,0,3.37,7.36,7.24,7.33,7.12,7.44,7.41,7.28,6.79,6.84,5.91,6.18,5.83,0,CD,7.44
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.79,5 주 6 일,1200,6,1,7,6,7,FALSE,1,5,6,2,6,2,2,680,2018-10-10,2,CD,350000,0,2.19,4.44,4.41,4.68,4.39,5.05,4.69,5.22,4.7,5.36,3.7,4.6,3.3,0,IM,5.36
70,Hanguk,Sang-Shik Won,438511569,,,18.48,3 주 2 일,210,6,1,7,6,20,TRUE,1,4,3,6,3,3,2,599,2018-10-14,2.5,WB,270000,0,2.97,4.97,4.98,4.78,4.97,4.51,4.79,4.34,4.68,4.06,4.29,4.14,4.61,0,WB,4.98
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.69,2 주 6 일,2620,7,2,3,4,5,FALSE,1,6,8,7,4,5,2,816,2018-10-14,2,WB,516000,1,1.58,3.67,3.76,3.78,3.85,3.81,3.72,4.01,3.97,4.08,3.41,3.46,3.39,0,IMd,4.12
72,Hanguk,Hoon Paeng,438720926,Technical,,17.107,1 주 2 일,1300,5,1,6,5,20,TRUE,1,6,6,7,4,2,4,701,2018-10-10,3.5,WB,330000,0,3.07,5.96,5.99,5.92,6.01,5.84,5.91,5.84,5.86,5.57,4.39,0,4.54,4.72,WBo,6.01
73,Hanguk,Ji-Dan Lee,438852692,Technical,,18.34,0 일,290,6,1,6,5,20,TRUE,1,5,5,4,3,2,2,560,,,,270000,0,2.8,4.86,4.83,4.89,4.81,4.98,4.91,4.98,4.67,4.74,3.68,0,3.63,3.94,CD,4.98
99,Hanguk,In-Guh Park,429263805,,,44.58,3 시즌 13 주 3 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
