Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
60,Hanguk,Chu-Seok Ahn,435761718,,,19.45,1 시즌 9 주 6 일,1120,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,720,2018-10-24,5,FW,370000,3,2.99,4.88,4.91,5.04,4.95,5.21,5.01,5.38,5.07,5.56,5.99,5.5,5.79,0,FW,5.99
61,Schweiz,Francois Baumgartner,434542904,,Y×1,19.25,1 시즌 9 주 4 일,11120,5,3,7,7,14,FALSE,1,9,7,6,7,6,3,895,2018-10-21,4.5,CD,948000,6,4.35,8.93,8.71,8.82,8.49,8.97,8.98,8.62,7.95,7.99,7.3,7.54,7.2,0,CDtw,8.98
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,36.12,1 시즌 8 주 5 일,5920,6,9,6,4,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-24,6,W,2208000,93,4.06,9.07,9.27,9.29,9.49,9.32,9.14,9.76,9.61,9.62,6.79,7.34,6.84,0,IMd,9.84
64,Hanguk,Koo-Joong Kim,435928762,,,19.36,1 시즌 7 주 6 일,5650,3,2,6,7,20,TRUE,1,10,4,3,2,2,3,1030,2018-10-24,5,CD,1130000,3,4.77,8.5,7.95,8.12,7.39,8.34,8.52,7.36,5.71,5.48,4.01,4.16,3.94,0,CDtw,8.52
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.56,12 주 6 일,4650,3,1,5,6,20,TRUE,1,9,3,3,6,5,3,955,2018-10-24,4,WB,670000,0,3.7,6.58,6.12,6.2,5.64,6.32,6.54,5.45,4.5,4.27,4.46,4.48,4.42,0,WBd,6.58
68,Sverige,Elmin Polovina,436113582,,,18.42,9 주 4 일,6330,2,2,8,5,9,FALSE,1,8,7,6,6,5,3,804,2018-10-24,4,CD,564000,0,3.44,7.47,7.35,7.44,7.23,7.56,7.52,7.39,6.89,6.95,6,6.28,5.92,0,CD,7.56
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.90,7 주 3 일,1490,6,1,8,6,8,FALSE,1,5,6,2,6,2,2,715,2018-10-24,2.5,CD,350000,0,2.33,4.67,4.63,4.92,4.62,5.3,4.93,5.47,4.93,5.63,3.89,4.83,3.48,0,IM,5.63
70,Hanguk,Sang-Shik Won,438511569,,,18.59,4 주 6 일,260,6,1,7,6,20,TRUE,1,4,3,6,3,3,2,604,2018-10-21,3,WB,270000,0,2.98,5.01,5.01,4.81,5,4.54,4.82,4.37,4.7,4.09,4.31,4.16,4.64,0,WB,5.01
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.80,4 주 2 일,3400,7,3,4,5,6,FALSE,1,6,8,7,4,5,2,818,2018-10-21,2.5,WB,516000,1,2.05,4.51,4.62,4.64,4.72,4.68,4.57,4.91,4.87,4.99,4.21,4.27,4.19,0,IMd,5.04
72,Hanguk,Hoon Paeng,438720926,Technical,,18.6,2 주 6 일,1530,5,1,6,5,20,TRUE,1,6,6,7,4,2,4,722,2018-10-24,3.5,WB,330000,0,3.11,6.02,6.05,5.99,6.08,5.9,5.97,5.9,5.92,5.63,4.44,0,4.58,4.77,WBo,6.08
73,Hanguk,Ji-Dan Lee,438852692,Technical,,18.45,1 주 3 일,330,6,1,6,6,20,TRUE,1,5,5,4,3,2,2,558,2018-10-21,2.5,CD,270000,1,2.98,5.17,5.14,5.21,5.12,5.3,5.23,5.3,4.98,5.05,3.92,0,3.87,4.2,CD,5.3
74,Hanguk,Nam-Han Kim,436538053,,,18.76,1 주 0 일,7790,5,2,5,6,3,FALSE,9,4,1,1,1,1,8,928,2018-10-21,3.5,KP,1530000,0,6.01,2.64,2.42,2.46,2.19,2.51,2.62,2.09,1.53,1.38,1.12,1.12,1.12,0,KP,6.01
98,Hanguk,Hyo-Kil Kim,438902137,,,18.71,6 일,110,7,1,6,5,20,TRUE,1,3,4,5,3,3,6,501,,,,270000,0,2.36,3.81,3.92,3.84,4.02,3.74,3.77,3.88,4.16,4.02,3.86,3.86,3.97,0,Wo,4.23
99,Hanguk,In-Guh Park,429263805,,,44.69,3 시즌 14 주 6 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
