Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.51,1 시즌 10 주 0 일,3050,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,904,2018-10-14,4.5,CD,490000,4,4.53,7.93,7.46,7.62,6.99,7.82,7.95,7,5.81,5.65,4.44,4.95,4.34,0,CDtw,7.95
60,Hanguk,Chu-Seok Ahn,435761718,,,19.38,1 시즌 8 주 6 일,1110,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,718,2018-10-17,4.5,FW,370000,3,2.99,4.88,4.91,5.04,4.95,5.21,5.01,5.38,5.07,5.56,5.99,5.5,5.79,0,FW,5.99
61,Schweiz,Francois Baumgartner,434542904,,Y×1,19.18,1 시즌 8 주 5 일,10400,5,2,6,7,14,FALSE,1,9,7,6,7,6,3,893,2018-10-14,4.5,CD,948000,6,3.83,8.08,7.88,7.98,7.67,8.12,8.13,7.79,7.17,7.21,6.57,6.79,6.47,0,CDtw,8.13
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,36.5,1 시즌 7 주 5 일,6380,6,9,7,4,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-17,6.5,W,2208000,93,4.38,9.77,10,10.02,10.23,10.05,9.85,10.52,10.36,10.38,7.32,7.92,7.38,0,IMd,10.61
64,Hanguk,Koo-Joong Kim,435928762,,,19.29,1 시즌 6 주 6 일,5050,3,2,6,7,20,TRUE,1,10,4,3,2,2,3,1013,2018-10-17,5,CD,1130000,3,4.76,8.49,7.94,8.1,7.38,8.33,8.5,7.35,5.7,5.47,4,4.15,3.94,0,CDtw,8.5
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.49,11 주 6 일,4570,3,1,6,6,20,TRUE,1,9,3,3,6,5,3,934,2018-10-17,4,WB,670000,0,4.03,7.17,6.66,6.75,6.15,6.88,7.12,5.94,4.9,4.65,4.86,4.88,4.81,0,WBd,7.17
68,Sverige,Elmin Polovina,436113582,,,18.35,8 주 4 일,5940,2,2,8,5,9,FALSE,1,8,7,6,6,5,3,802,2018-10-17,4,CD,564000,0,3.41,7.4,7.28,7.37,7.17,7.49,7.46,7.32,6.83,6.89,5.95,6.23,5.87,0,CD,7.49
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.83,6 주 3 일,1360,6,1,7,6,8,FALSE,1,5,6,2,6,2,2,704,2018-10-17,2.5,CD,350000,0,2.24,4.49,4.45,4.73,4.44,5.1,4.74,5.26,4.74,5.41,3.75,4.64,3.35,0,IM,5.41
70,Hanguk,Sang-Shik Won,438511569,,,18.52,3 주 6 일,230,6,1,7,6,20,TRUE,1,4,3,6,3,3,2,601,2018-10-14,2.5,WB,270000,0,2.98,5.01,5.01,4.81,5,4.54,4.82,4.37,4.7,4.09,4.31,4.16,4.64,0,WB,5.01
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.73,3 주 2 일,3040,7,2,4,4,6,FALSE,1,6,8,7,4,5,2,814,2018-10-14,2,WB,516000,1,1.9,4.37,4.47,4.5,4.58,4.54,4.42,4.77,4.72,4.85,4.07,4.12,4.04,0,IMd,4.9
72,Hanguk,Hoon Paeng,438720926,Technical,,17.111,1 주 6 일,1410,5,1,6,5,20,TRUE,1,6,6,7,4,2,4,704,2018-10-17,3.5,WB,330000,0,3.07,5.96,5.99,5.92,6.01,5.84,5.91,5.84,5.86,5.57,4.39,0,4.54,4.72,WBo,6.01
73,Hanguk,Ji-Dan Lee,438852692,Technical,,18.38,3 일,290,6,1,6,5,20,TRUE,1,5,5,4,3,2,2,560,,,,270000,0,2.8,4.86,4.83,4.89,4.81,4.98,4.91,4.98,4.67,4.74,3.68,0,3.63,3.94,CD,4.98
74,Hanguk,Nam-Han Kim,436538053,,,18.69,0 일,8360,5,2,6,6,1,FALSE,9,4,1,1,1,1,8,921,2018-10-14,5,KP,1530000,0,6.49,2.8,2.56,2.6,2.31,2.66,2.78,2.2,1.58,1.43,1.14,1.14,1.14,0,KP,6.49
98,Hanguk,Hyo-Kil Kim,438902137,,,18.64,0 일,110,7,1,6,5,20,TRUE,1,3,4,5,3,3,6,501,,,,270000,0,2.36,3.81,3.92,3.84,4.02,3.74,3.77,3.88,4.16,4.02,3.86,3.86,3.97,0,Wo,4.23
99,Hanguk,In-Guh Park,429263805,,,44.62,3 시즌 14 주 0 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
