Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
31,Česká republika,,397610518,Head,,30.92,3 시즌 1 주 3 일,11380,3,7,5,6,20,FALSE,1,9,9,1,8,4,4,899,2018-09-26,5.5,IM,1740000,42,4.21,7.64,7.42,7.93,7.24,8.61,7.24,8.39,6.12,7.13,5.42,0,CD,8.61
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.47,2 시즌 7 주 4 일,10660,3,2,7,7,20,TRUE,1,11,4,4,3,3,3,1134,2018-09-23,6,WB,1950000,0,5.5,10.12,9.45,9.57,8.77,9.74,6.72,6.25,5.06,0,5.08,5.09,WBd,10.12
44,Hanguk,Sang-Yong Jang,433566477,,TL,21.14,2 시즌 6 주 3 일,7540,2,2,6,8,20,TRUE,1,9,6,6,5,4,2,932,2018-09-23,5,WB,970000,4,3.28,7.46,7.19,7.24,6.92,7.31,6.06,5.81,4.78,5.01,4.81,0,WBd,7.46
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.36,2 시즌 2 주 3 일,1740,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,801,2018-09-26,3.5,W,470000,1,3.88,7.18,6.89,7.01,6.6,7.17,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,,20.11,1 시즌 11 주 3 일,1930,2,1,6,7,20,TRUE,1,7,5,4,5,4,2,732,2018-09-26,4,CD,390000,9,3.67,6.68,6.47,6.58,6.27,6.72,5.77,5.81,5.17,5.39,5.08,0,CD,6.72
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.27,1 시즌 6 주 4 일,2350,5,2,7,7,20,TRUE,1,8,4,3,5,2,6,845,2018-09-23,4.5,CD,490000,3,4.59,7.89,7.47,7.62,7.07,7.82,6.06,5.96,4.77,5.31,4.66,0,CDtw,7.91
60,Hanguk,Chu-Seok Ahn,435761718,,,19.14,1 시즌 5 주 3 일,850,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,705,2018-09-26,4,FW,370000,3,2.53,4.14,4.17,4.28,4.2,4.42,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,,18.106,1 시즌 5 주 2 일,9500,5,2,7,7,13,FALSE,1,8,7,6,7,6,3,801,2018-09-23,4.5,CD,492000,5,3.81,8.03,7.9,7.99,7.78,8.12,7.51,7.61,7.03,7.27,6.93,0,CD,8.12
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.93,1 시즌 4 주 3 일,7280,6,9,8,5,13,FALSE,1,9,12,11,4,3,14,1180,2018-09-26,7,W,4308000,93,4.48,10.06,10.29,10.32,10.53,10.35,10.67,10.68,7.53,8.14,7.59,0,IMtw,10.93
64,Hanguk,Koo-Joong Kim,435928762,,,19.5,1 시즌 3 주 4 일,4360,3,2,8,7,20,TRUE,1,9,4,3,2,2,3,976,2018-09-23,5.5,CD,1130000,3,5.01,8.78,8.26,8.43,7.74,8.66,6.16,5.97,4.45,4.61,4.37,0,CDtw,8.8
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.25,8 주 3 일,3660,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,901,2018-09-26,4,WB,670000,0,4.28,7.62,7.08,7.18,6.53,7.31,5.21,4.95,5.17,5.19,5.11,0,WBd,7.62
68,Sverige,Elmin Polovina,436113582,,,18.11,5 주 2 일,4540,2,2,7,5,7,FALSE,1,7,7,6,6,5,3,704,2018-09-26,3.5,CD,564000,0,2.87,6.29,6.27,6.33,6.24,6.43,6.17,6.28,5.5,5.76,5.42,0,CD,6.43
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.59,3 주 0 일,930,6,1,6,5,5,FALSE,1,4,6,2,6,2,2,702,2018-09-26,2,CD,350000,0,1.68,3.41,3.46,3.69,3.53,4.01,4.04,4.7,3.28,4.1,2.92,0,IMo,4.75
70,Hanguk,Sang-Shik Won,438511569,,,18.28,4 일,150,6,1,6,5,20,TRUE,1,3,3,6,3,3,2,603,2018-09-26,2.5,WB,270000,0,2.36,3.81,3.89,3.7,3.95,3.45,3.93,3.45,3.73,3.6,4.01,0,Wo,4.14
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.49,0 일,3030,7,2,6,4,1,FALSE,1,6,8,7,4,5,2,799,2018-09-23,2.5,WB,516000,1,2.03,4.91,5.03,5.06,5.15,5.1,5.32,5.46,4.55,4.62,4.52,0,IMd,5.52
99,Hanguk,In-Guh Park,429263805,,,44.38,3 시즌 10 주 4 일,0,3,6,4,1,20,TRUE,0,0,0,0,0,0,0,440,,,,250000,0,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,0,KP,1.13
