Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.46,2 시즌 7 주 2 일,10660,3,2,7,7,20,TRUE,1,11,4,4,3,3,3,1134,2018-09-23,6,WB,1950000,0,5.5,9.44,9.73,6.71,6.24,5.05,0,5.07,5.09,WBd,10.11
44,Hanguk,Sang-Yong Jang,433566477,,,21.13,2 시즌 6 주 2 일,7540,2,2,6,8,20,TRUE,1,9,6,6,5,4,2,932,2018-09-23,5,WB,970000,4,4.61,8.51,8.63,7.38,7.14,6.11,6.33,6.13,0,WBd,8.78
48,Hanguk,Jin-Taek Cho,433931826,Powerful,,20.35,2 시즌 2 주 2 일,1740,1,1,6,7,20,TRUE,1,8,5,4,2,4,5,801,2018-09-19,3.5,W,470000,1,3.88,6.89,7.17,5.62,5.59,4.69,4.56,4.63,0,CDtw,7.22
54,Hanguk,Kwang-Hyun Seo,434869614,Unpredictable,Bru,20.10,1 시즌 11 주 2 일,1920,2,1,6,7,20,TRUE,1,7,5,4,5,4,2,730,2018-09-19,4,CD,390000,9,3.49,6.15,6.38,5.48,5.52,4.91,5.12,4.82,0,CDtw,6.39
58,Hanguk,Yi-Sub Kang,435570656,,Y×1 TL,20.41,1 시즌 7 주 2 일,2640,5,1,8,7,20,TRUE,1,7,3,5,5,5,4,770,2018-09-19,4,WB,330000,0,2.63,5.48,5.28,4.16,3.59,4.23,4.01,4.42,0,WBd,5.8
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.26,1 시즌 6 주 2 일,2350,5,2,7,7,20,TRUE,1,8,4,3,5,2,6,845,2018-09-23,4.5,CD,490000,3,4.58,7.46,7.8,6.05,5.94,4.76,5.3,4.65,0,CDtw,7.9
60,Hanguk,Chu-Seok Ahn,435761718,,,19.13,1 시즌 5 주 2 일,850,3,1,5,6,20,TRUE,1,4,5,3,3,7,5,705,2018-09-23,4,FW,370000,3,2.53,4.17,4.42,4.3,4.71,5.08,4.67,4.91,0,FW,5.08
61,Schweiz,Francois Baumgartner,434542904,,,18.105,1 시즌 5 주 0 일,9500,5,2,7,7,13,FALSE,1,8,7,6,7,6,3,801,2018-09-23,4.5,CD,492000,5,3.81,7.9,8.12,7.51,7.61,7.03,7.27,6.93,0,CD,8.12
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,35.92,1 시즌 4 주 1 일,7280,6,9,8,5,13,FALSE,1,9,12,11,4,3,14,1180,2018-09-19,7,W,4308000,93,4.48,10.29,10.35,10.67,10.68,7.53,8.14,7.59,0,IMtw,10.93
64,Hanguk,Koo-Joong Kim,435928762,,,19.4,1 시즌 3 주 2 일,4360,3,2,8,7,20,TRUE,1,9,4,3,2,2,3,976,2018-09-23,5.5,CD,1130000,3,5,8.25,8.64,6.15,5.96,4.44,4.6,4.36,0,CDtw,8.79
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.24,8 주 2 일,3660,3,1,7,6,20,TRUE,1,9,3,3,6,5,3,901,2018-09-19,4,WB,670000,0,4.28,7.08,7.31,5.21,4.95,5.17,5.19,5.11,0,WBd,7.62
68,Sverige,Elmin Polovina,436113582,,,18.10,5 주 0 일,4540,2,2,7,5,7,FALSE,1,7,7,6,6,5,3,704,2018-09-19,3.5,CD,564000,0,2.87,6.27,6.43,6.17,6.28,5.5,5.76,5.42,0,CD,6.43
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.58,2 주 6 일,930,6,1,6,5,5,FALSE,1,4,6,2,6,2,2,702,2018-09-19,2,CD,350000,0,1.68,3.46,4.01,4.04,4.7,3.28,4.1,2.92,0,IMo,4.75
70,Hanguk,Sang-Shik Won,438511569,,,18.27,2 일,150,6,1,6,5,20,TRUE,1,3,3,6,3,3,2,603,,,,270000,0,2.36,3.89,3.45,3.93,3.45,3.73,3.6,4.01,0,Wo,4.14
99,Hanguk,In-Guh Park,429263805,,,44.37,3 시즌 10 주 2 일,0,3,6,4,1,20,TRUE,0,0,0,0,0,0,0,440,,,,250000,0,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,0,KP,1.13
