Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBPos,CDPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
16,Hanguk,Dong-Shik Kim,427619248,,,22.62,4 시즌 5 주 6 일,1250,6,3,4,7,20,TRUE,1,3,3,6,4,7,10,776,2018-09-05,4,FW,410000,32,2.67,4.11,3.7,4.22,3.88,5.27,4.68,5.5,0,FWtw,5.5
25,Polska,Pylyp Nagorniak,406205227,,,30.62,4 시즌 0 주 6 일,1260,5,3,7,6,20,FALSE,1,6,6,3,6,3,9,613,2018-09-02,5,IM,420000,11,3.79,6.56,7.1,6.51,6.99,5.6,6.3,5.29,0,CD,7.1
31,Hanguk,Se-Hee Park,430626797,,,21.109,3 시즌 4 주 6 일,1240,4,2,6,7,20,TRUE,1,2,5,5,3,7,8,728,2018-08-29,5,FW,390000,26,2.82,4.57,4.45,5.46,5.68,6.54,5.95,6.55,0,FWtw,6.55
34,Sverige,Axel Hermansson,422526443,,,31.84,3 시즌 2 주 5 일,1030,5,5,6,6,20,FALSE,2,6,7,2,6,2,9,693,2018-09-05,4,IM,456000,17,4.24,6.16,6.93,6.34,7.11,5.08,6.01,4.62,0,IMd,7.15
38,Latvija,Artem Skurlatov,409641598,,,29.90,2 시즌 15 주 2 일,2050,5,5,6,6,19,FALSE,1,8,6,3,4,3,4,804,2018-09-05,5,CD,684000,8,4.17,7.19,7.75,6.31,6.63,5.05,5.46,4.79,0,CD,7.75
40,Perú,Matías Pichis,416567166,,,25.40,2 시즌 14 주 5 일,8680,6,2,6,7,19,FALSE,1,10,8,2,4,4,6,1000,2018-08-22,5.5,CD,1764000,4,4.37,8.26,9.35,7.14,7.98,5.57,6.08,5.01,0,CD,9.35
48,Hanguk,Dong-Suk Lee,432205385,Technical,,21.11,2 시즌 8 주 5 일,1280,6,2,7,7,20,TRUE,1,5,4,5,6,5,4,615,2018-09-05,5,FW,290000,13,3.83,6.29,6.15,6.11,5.89,6.38,0,6.46,6.45,FWtw,6.46
52,Hanguk,Seong-Gong Choi,433454317,Unpredictable,,19.91,2 시즌 5 주 0 일,5490,4,2,6,7,20,TRUE,1,7,7,7,4,5,4,788,2018-09-05,4.5,WB,550000,13,4.02,7.72,7.72,7.48,7.4,6.58,6.56,6.64,0,CD,7.72
55,Hanguk,Geun-Ho Han,433728993,,Y×2,20.93,2 시즌 2 주 0 일,2380,3,2,8,7,20,TRUE,1,5,6,4,3,7,3,724,2018-08-29,4.5,FW,410000,9,3.94,6.73,7.06,6.82,7.31,7.36,6.88,7.15,0,FW,7.36
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.44,1 시즌 12 주 5 일,6360,3,3,7,7,15,FALSE,1,8,5,7,7,2,4,868,2018-09-05,4,WB,708000,2,4.08,7.87,7.63,6.97,6.31,5.28,5.98,5.51,0,WBd,8.08
65,Hanguk,Sang-Hyun Yun,434942107,,,19.7,1 시즌 8 주 0 일,2700,3,1,6,6,20,TRUE,1,6,5,4,7,4,2,790,2018-09-05,3.5,W,390000,2,3.22,5.61,5.81,5.43,5.52,5.13,5.56,5.01,0,CD,5.81
70,Hanguk,Min-Gyu Jung,429263814,,,24.85,1 시즌 3 주 4 일,5920,1,4,7,7,13,FALSE,1,9,6,4,4,2,5,960,2018-08-22,5.5,CD,1030000,2,4.53,8.37,8.87,7.03,7.09,4.97,5.56,4.8,0,CD,8.87
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.21,1 시즌 2 주 0 일,1760,3,1,6,6,20,TRUE,1,7,6,4,4,3,5,751,2018-09-02,4,CD,390000,0,3.45,6.27,6.62,5.77,5.96,4.64,4.99,4.49,0,CD,6.62
76,Hanguk,Nam-Han Kim,436538053,,,18.27,13 주 0 일,6540,5,1,6,6,20,TRUE,8,4,1,1,1,1,5,863,2018-09-05,4,KP,1530000,0,6.96,3.53,3.64,2.54,2.38,2.09,2.09,2.09,0,KP,6.96
77,Hanguk,Han-Duk Park,437598574,Unpredictable,Y×1,18.32,4 주 6 일,950,3,1,6,6,20,TRUE,1,3,6,3,6,5,4,611,2018-09-02,3.5,IM,310000,1,2.46,4.14,4.5,5.05,5.67,5.36,5.65,5.08,0,IMo,5.82
78,Hanguk,Jung-Oh Han,433730490,Technical,,21.2,1 주 4 일,4630,4,2,7,7,4,FALSE,1,9,3,5,1,3,3,964,2018-09-02,4.5,WB,1270000,3,3.58,6.84,6.73,4.51,3.75,3.21,0,3.46,2.78,WBd,7.34
98,Hanguk,Jong-Shik Jegal,438047619,,,18.13,0 일,670,5,1,6,5,20,TRUE,1,3,3,4,7,4,5,703,,,,330000,0,2.36,3.59,3.45,3.89,3.77,4.35,4.58,4.4,0,FWd,4.58
99,Danmark,Torben Boesen,321795066,Head,,40.107,0 일,190,5,13,6,2,1,FALSE,0,9,0,4,0,0,0,880,2018-06-06,4,WB,468000,79,2.46,4.49,4.26,2.38,1.52,1.19,1.05,1.48,0,WBd,4.95
