Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,PH,KP,WB,CD,W,IM,FW
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.53,10주 6일,710,6,3,5,6,20,TRUE,2,5,6,3,5,2,6,654,2017-07-19,3.5,IM,330000,2,,,3.87,5.39,5.81,5.59,6,4.6
12,Hanguk,Chan-Myung Lee,427619244,,,25.62,10주 6일,1010,3,4,6,7,20,TRUE,1,3,7,3,4,3,4,756,2017-07-19,3.5,FW,410000,1,,,3.37,5.4,5.91,6.47,7.28,5.79
13,Hanguk,Sung-Kook Han,427619245,공 마술사,,21.50,10주 6일,1390,2,3,6,7,20,TRUE,1,5,6,6,5,2,5,625,2017-07-19,4.5,W,330000,7,,,3.7,6.51,6.47,6.77,6.7,5.44
14,Hanguk,Se-Jong Cho,427619246,,,28.50,10주 6일,780,4,5,5,6,20,TRUE,1,5,5,6,3,4,4,624,2017-07-16,3.5,WB,290000,7,,,3.53,5.87,5.72,5.74,5.54,5.25
15,Hanguk,Man-Ok Lee,427619247,예측할 수 없음,Y×1,22.103,10주 6일,2200,5,3,7,7,20,TRUE,1,5,5,7,6,2,4,752,2017-07-16,5,W,350000,5,,,4.01,7.03,6.67,7.15,6.66,5.89
16,Hanguk,Dong-Shik Kim,427619248,,,18.97,10주 6일,1240,6,2,5,6,20,TRUE,1,3,3,6,4,7,6,770,2017-07-19,4.5,FW,410000,10,,,2.67,4.21,3.77,4.32,3.96,5.45
17,Hanguk,Seung-Mee Kim,427619249,예측할 수 없음,,34.36,10주 6일,70,2,6,6,5,20,TRUE,1,2,4,4,4,7,5,680,2017-07-16,5,FW,300000,9,,,3.06,4.3,4.23,4.93,5.13,6.21
18,Hanguk,Kwang-Rae Kim,427619250,헤딩,Y×1,26.57,10주 6일,990,3,3,5,7,20,TRUE,1,2,5,3,6,6,2,629,2017-07-19,4.5,FW,310000,8,,,2.68,3.93,4.13,4.91,5.42,5.85
19,Hanguk,Joo-Po Lee,428801949,,,17.50,1주 6일,0,5,1,6,5,20,TRUE,1,2,2,3,1,1,3,290,,,,250000,0,,,2.14,2.83,2.68,2.77,2.58,2.33
20,Brasil,Jader da Matta,427827635,,Y×2,32.14,5주 5일,680,4,6,6,6,7,FALSE,2,6,6,5,6,2,5,590,2017-07-16,2.5,WB,384000,0,,,3.75,5.96,6.12,5.94,5.99,4.64
21,Belgium,Jitse Haes,428112207,,,31.55,5주 5일,880,4,5,5,6,7,FALSE,2,6,6,5,6,2,5,599,2017-07-16,3,CD,384000,2,,,3.37,5.39,5.54,5.38,5.42,4.18
22,Nederland,Keith Esser,428060480,빠름,,31.72,5주 5일,980,5,6,6,6,7,FALSE,2,6,5,6,6,3,6,595,2017-07-16,3.5,W,372000,0,,,3.81,6.02,5.89,5.78,5.48,4.91
23,Belgium,Mathias Piron,428125893,공 마술사,,32.24,5주 5일,580,6,5,5,6,7,FALSE,2,6,6,6,6,3,6,590,2017-07-19,2.5,W,372000,1,,,3.34,5.5,5.5,5.5,5.42,4.56
24,Canada,Philippe Morel,425173438,예측할 수 없음,,33.38,5주 5일,260,5,5,4,5,7,FALSE,2,6,5,5,6,2,6,592,2017-07-16,2.5,W,360000,2,,,2.88,4.46,4.49,4.26,4.15,3.38
25,Polska,Pylyp Nagorniak,406205227,,Y×2,26.97,5주 5일,1530,5,3,4,5,7,FALSE,1,6,7,3,6,3,6,749,2017-07-16,3,IM,444000,1,,,2.21,4.29,4.76,4.44,4.92,3.66
26,Türkiye,Türker Arkan,425734621,,Y×1,33.2,5주 5일,740,1,6,7,6,7,FALSE,2,6,7,5,6,2,6,680,2017-07-19,4.5,IM,456000,10,,,3.97,6.5,6.8,6.74,6.99,5.17
27,Hanguk,Soo-Kwon Hong,428883307,헤딩,,17.38,1주 0일,20,3,1,6,5,20,TRUE,1,2,1,3,3,3,3,309,,,,250000,0,,,2.14,2.65,2.39,2.52,2.21,2.98
28,Hanguk,Kyoo-Poong Jeon,428976501,,,18.52,0일,40,3,1,6,5,20,TRUE,1,3,3,3,2,4,4,406,,,,250000,0,,,2.36,3.45,3.45,3.37,3.4,3.64
29,Hanguk,Won-Joon Kim,428342261,,,17.98,4주 0일,180,4,1,3,5,20,TRUE,1,2,4,5,2,5,4,579,,,,270000,0,,,1.5,2.44,2.29,2.77,2.74,3.07
99,Hanguk,Je-Min Jung,427619232,,,41.1,10주 6일,0,4,8,3,2,20,TRUE,0,0,0,0,0,0,2,340,,,,250000,0,,,1.14,1.14,1.14,1.14,1.14,1.14
