Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
70,Hanguk,,429263814,,,25.30,1 시즌 11 주 5 일,5880,1,4,7,7,15,FALSE,1,9,6,4,4,2,7,959,2018-10-31,5.5,CD,1030000,2,4.61,8.8,8.45,8.66,8.1,8.94,8.9,8.4,7.6,7.1,7.17,6.75,7.17,5.05,5.64,4.88,0,CD,8.94
72,Hanguk,,435840503,,,19.78,1 시즌 10 주 1 일,1340,3,1,4,6,20,TRUE,1,7,6,4,4,3,7,735,2018-11-04,3,CD,390000,0,2.82,5.23,5.12,5.24,5.01,5.4,5.32,5.28,4.85,4.71,4.78,4.51,4.86,3.79,4.07,3.66,0,CD,5.4
78,Hanguk,,433730490,Technical,,21.59,9 주 5 일,4540,4,2,6,8,9,FALSE,1,9,3,5,1,3,6,960,2018-10-31,4.5,WB,1270000,4,3.66,7.25,6.78,6.73,6.29,6.67,7.08,5.67,5.35,4.54,4.41,4.43,3.82,3.31,0,3.55,2.9,WBd,7.25
79,España,,415605434,,Y×2,26.3,7 주 0 일,27440,5,5,7,7,8,FALSE,1,8,11,3,9,2,6,1099,2018-11-04,6.5,IM,4116000,23,3.99,8.32,8.34,8.9,8.4,9.64,8.85,10.16,8.86,9.14,9.52,8.5,10.54,6.71,8.51,5.92,0,IMd,10.56
80,Andorra,,427020395,Technical,,27.61,5 주 3 일,15470,6,6,7,7,7,FALSE,1,9,6,8,7,4,10,986,2018-11-04,5,WB,1260000,29,4.31,8.96,8.75,8.64,8.52,8.51,8.81,7.99,8.14,7.76,7.62,7.86,7.13,6.4,0,6.63,6.83,WBd,8.96
81,Hanguk,,433566477,,,21.53,5 주 0 일,7990,2,2,6,8,7,FALSE,1,9,6,6,5,4,5,947,2018-11-04,4.5,WB,970000,5,3.56,7.73,7.47,7.52,7.2,7.58,7.71,7.08,6.75,6.33,6.3,6.2,6.09,5.06,5.28,5.09,0,WBd,7.73
82,Hanguk,,438852209,,,17.68,2 주 4 일,1380,4,1,3,5,20,TRUE,6,3,1,2,1,1,2,634,2018-11-04,2,KP,750000,0,3.56,2.16,2.07,2.04,1.97,2.01,2.11,1.81,1.8,1.65,1.61,1.66,1.47,1.41,1.38,1.47,0,KP,3.56
83,Hanguk,,434869614,Unpredictable,,20.50,2 주 1 일,2860,2,1,7,7,5,FALSE,1,8,5,4,5,4,2,805,2018-11-04,4,CD,390000,9,2.99,6.55,6.23,6.36,5.92,6.53,6.58,6.01,5.55,5.12,5.11,4.93,5.1,4.32,4.55,4.21,0,CDtw,6.58
98,Hanguk,,438979591,,,18.32,1 주 1 일,1620,5,1,6,5,20,TRUE,6,3,1,1,1,1,1,606,,,,850000,0,5.08,2.95,2.8,2.83,2.64,2.87,2.94,2.58,2.42,2.19,2.16,2.13,2.09,1.91,1.91,1.91,0,KP,5.08
99,Danmark,,321795066,Head,,41.52,8 주 0 일,70,5,13,6,1,8,FALSE,0,8,0,3,0,0,0,780,2018-06-06,4,WB,396000,79,2.27,4.22,3.84,3.78,3.44,3.71,4.07,2.9,2.77,2.14,2,2.12,1.52,1.21,1.12,1.41,0,WBd,4.22
