Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
31,Česká republika,,397610518,Head,Bru,31.22,3 시즌 7 주 3 일,10510,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,890,2018-11-07,7,IM,1632000,42,4.54,8.24,8.01,8.56,7.81,9.29,8.7,9.29,7.93,7.81,8.1,7.17,9.05,6.61,7.69,5.85,0,CD,9.29
43,Hanguk,,433466579,Technical,,20.89,2 시즌 13 주 3 일,10960,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1149,2018-11-07,5,W,1950000,0,4.96,9.13,8.52,8.63,7.91,8.78,9.07,7.65,6.98,6.06,5.97,5.8,5.64,4.56,0,4.58,4.59,WBd,9.13
59,Hanguk,,435660098,,Y×2,19.69,1 시즌 12 주 4 일,3510,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,921,2018-11-04,4.5,CD,490000,5,4.54,7.95,7.48,7.63,7.01,7.83,7.97,7.02,6.47,5.82,5.76,5.6,5.66,4.45,4.96,4.34,0,CDtw,7.97
60,Hanguk,,435761718,,,19.56,1 시즌 11 주 3 일,1130,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,721,2018-11-07,5,FW,370000,3,2.96,4.84,4.87,5,4.91,5.17,4.97,5.33,4.95,5.02,5.14,4.83,5.51,5.94,5.45,5.74,0,FW,5.94
61,Schweiz,,434542904,,Y×1,19.36,1 시즌 11 주 2 일,11770,5,3,7,7,15,FALSE,1,9,7,6,7,6,3,898,2018-11-04,5,CD,948000,7,4.4,8.98,8.76,8.87,8.54,9.02,9.03,8.67,8.3,8,8,7.84,8.04,7.35,7.59,7.25,0,CDtw,9.03
63,Hellas,,377705560,Unpredictable,,36.23,1 시즌 10 주 2 일,5410,6,9,6,4,15,FALSE,1,9,12,11,4,2,14,1180,2018-11-07,5.5,W,2208000,93,4.03,8.95,9.16,9.18,9.37,9.2,9.03,9.63,9.26,9.49,9.67,9.28,9.47,6.4,7.09,6.46,0,IMtw,9.72
64,Hanguk,,435928762,,,19.47,1 시즌 9 주 3 일,6190,3,2,7,7,20,TRUE,1,10,4,3,2,2,3,1033,2018-11-07,5.5,CD,1130000,3,5.15,9.19,8.59,8.77,7.99,9.02,9.2,7.96,7.07,6.17,6.15,5.8,5.93,4.33,4.49,4.26,0,CDtw,9.2
67,Hanguk,,437472967,,Y×1,19.67,14 주 3 일,4790,3,1,5,6,20,TRUE,1,9,3,3,6,5,3,962,2018-11-07,4,WB,670000,0,3.72,6.63,6.16,6.24,5.68,6.36,6.58,5.49,5.19,4.53,4.41,4.44,4.3,4.5,4.51,4.45,0,WBd,6.63
68,Sverige,,436113582,,,18.53,11 주 1 일,6720,2,2,8,6,10,FALSE,1,8,7,6,6,5,3,804,2018-11-07,4.5,CD,564000,0,3.54,7.62,7.5,7.59,7.38,7.71,7.68,7.54,7.21,7.04,7.08,6.89,7.1,6.14,6.42,6.06,0,CD,7.71
69,Hanguk,,437963734,Unpredictable,,17.101,9 주 0 일,1600,6,1,8,6,9,FALSE,1,6,6,2,6,2,2,686,2018-11-07,3,CD,350000,0,2.67,5.4,5.26,5.57,5.15,5.98,5.65,5.98,5.25,5.2,5.35,4.86,5.84,3.98,4.92,3.56,0,CD,5.98
71,Schweiz,,436514697,Head,,18.91,5 주 6 일,4050,7,3,5,5,7,FALSE,1,7,8,7,4,5,2,801,2018-11-04,3,WB,516000,2,2.62,5.76,5.81,5.86,5.86,5.92,5.82,6.05,5.77,5.82,5.91,5.67,5.92,4.93,4.99,4.9,0,Cdo,6.05
72,Hanguk,,438720926,Technical,,18.17,4 주 3 일,1470,5,1,5,5,20,TRUE,1,6,6,7,4,2,4,743,2018-11-07,3,WB,330000,0,2.89,5.61,5.63,5.57,5.66,5.49,5.56,5.49,5.53,5.51,5.51,5.52,5.24,4.13,0,4.27,4.44,WBo,5.66
73,Hanguk,,438852692,Technical,,18.56,3 주 0 일,370,6,1,6,6,20,TRUE,1,5,5,4,3,2,2,577,2018-11-04,3,CD,270000,1,3,5.21,5.18,5.25,5.15,5.34,5.26,5.34,5.05,5.01,5.08,4.87,5.08,3.95,0,3.89,4.23,CD,5.34
74,Hanguk,,436538053,,,18.87,2 주 4 일,7400,5,2,5,6,5,FALSE,9,4,1,1,1,1,8,915,2018-10-21,3.5,KP,1530000,0,6.09,2.72,2.49,2.54,2.26,2.59,2.7,2.17,1.94,1.61,1.57,1.52,1.46,1.2,1.2,1.2,0,KP,6.09
75,Hanguk,,438979409,Head,,18.53,1 주 4 일,450,4,1,6,5,20,TRUE,1,3,3,7,3,3,6,719,2018-11-04,2.5,WB,330000,0,2.45,4.08,4.19,3.93,4.28,3.58,3.86,3.58,4.2,4.25,4.12,4.54,3.58,3.97,3.79,4.36,0,Wo,4.54
98,Hanguk,,439091962,Technical,TL,18.26,2 일,340,2,0,6,5,20,TRUE,1,2,2,6,5,3,3,626,,,,270000,0,0.99,2.01,2.12,1.87,2.21,1.53,1.8,1.53,2.3,2.39,2.22,2.75,1.78,2.6,0,2.93,2.65,FWtw,2.93
99,Hanguk,,429263807,,,31.49,4 시즌 0 주 4 일,130,7,6,5,6,20,TRUE,5,6,1,1,2,1,3,612,2018-11-04,3.5,KP,630000,0,5.97,5.28,4.9,4.97,4.51,5.06,5.25,4.35,4.02,3.46,3.38,3.34,3.21,2.82,2.93,2.81,0,KP,5.97
