Number,Nat,Player,PlayerID,Sp,Stat,Age,Since,TSI,LS,XP,Fo,Stm,StmPr,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,,TC,PH,KP,WB,CD,W,IM,FW,BPo,BPoV
11,Hanguk,Kwang-Hwan Yun,427619243,,,26.47,10주 0일,670,6,3,4,6,6.70,20,True,2,5,6,3,5,2,6,673,2017-07-09,3,IM,330000,2,,,,3.45,4.82,5.18,4.99,5.36,4.1,IMd,5.39
12,Hanguk,Chan-Myung Lee,427619244,,,25.56,10주 0일,1000,3,4,6,7,7.17,20,True,1,3,7,3,4,3,4,754,2017-07-16,3.5,FW,410000,1,,,,3.35,5.37,5.88,6.43,7.24,5.75,IMo,7.27
13,Hanguk,Sung-Kook Han,427619245,공 마술사,,21.44,10주 0일,1370,2,3,6,7,6.96,20,True,1,5,6,6,5,2,5,622,2017-07-12,4,W,330000,7,,,,3.67,6.46,6.43,6.72,6.65,5.4,IMtw,6.78
14,Hanguk,Se-Jong Cho,427619246,,,28.44,10주 0일,770,4,5,5,6,6.56,20,True,1,5,5,6,3,4,4,621,2017-07-16,3.5,WB,290000,7,,,,3.52,5.85,5.7,5.72,5.53,5.23,WBo,5.88
15,Hanguk,Man-Ok Lee,427619247,예측할 수 없음,Y×1,22.97,10주 0일,2110,5,3,7,7,7.23,20,True,1,5,5,7,6,2,4,741,2017-07-16,5,W,350000,5,,,,4,7.01,6.65,7.13,6.63,5.87,Wo,7.33
16,Hanguk,Dong-Shik Kim,427619248,,,18.91,10주 0일,1210,6,2,5,6,6.33,20,True,1,3,3,6,4,7,6,766,2017-07-12,4.5,FW,410000,10,,,,2.64,4.16,3.72,4.27,3.91,5.38,FWtw,5.62
17,Hanguk,Seung-Mee Kim,427619249,예측할 수 없음,,34.30,10주 0일,90,2,6,7,5,5.65,20,True,1,2,4,4,4,7,5,680,2017-07-16,5,FW,300000,9,,,,3.3,4.63,4.56,5.32,5.53,6.7,FW,6.7
18,Hanguk,Kwang-Rae Kim,427619250,헤딩,Y×1,26.51,10주 0일,1020,3,3,5,7,–,20,True,1,2,5,3,6,6,2,635,2017-07-16,4.5,FW,310000,8,,,,2.68,3.93,4.13,4.91,5.42,5.85,FWd,5.89
19,Hanguk,Joo-Po Lee,428801949,,,17.44,1주 1일,0,5,1,6,5,–,20,True,1,2,2,3,1,1,3,290,,,,250000,0,,,,2.14,2.83,2.68,2.77,2.58,2.33,WBo,2.85
20,Brasil,Jader da Matta,427827635,,Y×2,32.8,4주 6일,590,4,6,4,6,6.42,7,False,2,6,6,5,6,2,5,593,2017-07-16,2.5,WB,384000,0,,,,3.07,4.87,5.01,4.86,4.9,3.8,CD,5.01
21,Belgium,Jitse Haes,428112207,,,31.49,5주 0일,870,4,5,5,6,6.47,7,False,2,6,6,5,6,2,5,599,2017-07-16,3,CD,384000,2,,,,3.37,5.39,5.54,5.38,5.42,4.18,CD,5.54
22,Nederland,Keith Esser,428060480,빠름,,31.66,4주 6일,890,5,6,5,6,6.69,7,False,2,6,5,6,6,3,6,596,2017-07-16,3.5,W,372000,0,,,,3.48,5.5,5.39,5.28,5.01,4.49,WBd,5.55
23,Belgium,Mathias Piron,428125893,공 마술사,,32.18,5주 0일,520,6,5,4,6,6.40,7,False,2,6,6,6,6,3,6,590,2017-07-12,3,W,372000,1,,,,3,4.93,4.93,4.93,4.85,4.08,CD,4.93
24,Canada,Philippe Morel,425173438,예측할 수 없음,TL,33.32,4주 6일,250,5,5,4,5,5.70,7,False,2,6,5,5,6,2,6,591,2017-07-16,2.5,W,360000,2,,,,2.67,4.26,4.29,4.06,3.94,3.17,CDtw,4.32
25,Polska,Pylyp Nagorniak,406205227,,Y×2,26.91,5주 0일,1550,5,3,5,5,–,7,False,1,6,7,3,6,3,6,716,2017-07-16,3,IM,444000,1,,,,2.38,4.62,5.13,4.79,5.31,3.95,IMd,5.34
26,Türkiye,Türker Arkan,425734621,,Y×1,32.108,4주 6일,1110,1,6,7,6,6.01,7,False,2,6,7,5,6,2,6,680,2017-07-12,4.5,IM,420000,10,,,,3.97,6.5,6.8,6.74,6.99,5.17,IMd,7.04
27,Hanguk,Soo-Kwon Hong,428883307,헤딩,,17.32,1일,10,3,1,6,5,–,20,True,1,2,1,3,3,3,3,293,,,,250000,0,,,,2.14,2.65,2.39,2.52,2.21,2.98,FWtw,3.13
29,Hanguk,Won-Joon Kim,428342261,,,17.92,3주 1일,220,4,1,5,5,–,20,True,1,2,4,5,2,5,4,568,,,,270000,0,,,,1.95,3.18,2.98,3.61,3.58,4,FWtw,4.1
99,Hanguk,Je-Min Jung,427619232,,,40.107,10주 0일,0,4,8,3,2,–,20,True,0,0,0,0,0,0,2,340,,,,250000,0,,,,1.14,1.14,1.14,1.14,1.14,1.14,KP,1.14
