Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
55,Hanguk,Geun-Ho Han,433728993,,R,21.14,2 시즌 6 주 5 일,1930,3,2,5,7,20,TRUE,1,5,6,4,3,7,4,729,2018-10-07,4,FW,410000,13,3.26,5.54,5.57,5.69,5.6,5.84,5.66,5.99,5.64,6.04,6.08,5.69,5.92,0,IMd,6.08
61,Oceania,Cedrick Williamson,430364099,Powerful,,20.77,2 시즌 1 주 3 일,6820,3,3,8,7,16,FALSE,1,8,5,7,7,2,5,883,2018-10-10,4.5,WB,708000,2,4.34,8.55,8.33,8.22,8.09,8.08,8.39,7.53,7.38,6.68,5.61,6.34,5.84,0,WBd,8.55
65,Hanguk,Sang-Hyun Yun,434942107,,,19.40,1 시즌 12 주 5 일,2750,3,1,6,6,20,TRUE,1,6,5,4,7,4,3,793,2018-10-10,4,W,390000,4,3.22,5.73,5.61,5.7,5.51,5.81,5.77,5.65,5.43,5.52,5.13,5.56,5.01,0,CD,5.81
70,Hanguk,Min-Gyu Jung,429263814,,,25.6,1 시즌 8 주 2 일,5780,1,4,7,7,14,FALSE,1,9,6,4,4,2,5,956,2018-10-10,5,CD,1030000,2,4.58,8.78,8.42,8.64,8.08,8.92,8.88,8.38,7.08,7.14,5.02,5.61,4.85,0,CD,8.92
72,Hanguk,Gyeong-Ryeol Kim,435840503,,,19.54,1 시즌 6 주 5 일,1630,3,1,5,6,20,TRUE,1,7,6,4,4,3,6,751,2018-10-10,4,CD,390000,0,3.2,5.95,5.82,5.96,5.7,6.14,6.04,6,5.35,5.53,4.3,4.62,4.16,0,CD,6.14
76,Hanguk,Nam-Han Kim,436538053,,,18.60,1 시즌 1 주 5 일,9190,5,1,7,6,20,TRUE,9,4,1,1,1,1,6,921,2018-10-07,5,KP,1530000,0,8.25,4.13,3.86,3.91,3.58,3.98,4.11,3.46,2.77,2.6,2.28,2.28,2.28,0,KP,8.25
78,Hanguk,Jung-Oh Han,433730490,Technical,Bru,21.35,6 주 2 일,4390,4,2,6,7,7,FALSE,1,9,3,5,1,3,4,970,2018-10-10,4.5,WB,1270000,4,3.37,6.78,6.34,6.29,5.87,6.23,6.62,5.29,4.22,3.53,3.05,0,3.27,2.66,WBd,6.78
79,España,Jimeno Eguiruren,415605434,,Y×2,25.91,3 주 5 일,24960,5,5,6,7,6,FALSE,1,8,11,3,9,2,4,1096,2018-10-07,6,IM,4068000,22,3.68,7.76,7.78,8.31,7.84,9.01,8.26,9.5,8.54,9.86,6.25,7.94,5.5,0,IMd,9.88
80,Andorra,Joaquim Muntaner,427020395,Technical,,27.37,2 주 0 일,16000,6,5,7,7,4,FALSE,1,9,6,8,7,4,8,996,2018-10-07,5,WB,1260000,29,4.15,8.9,8.68,8.58,8.45,8.44,8.75,7.91,7.68,7.04,6.29,0,6.52,6.73,WBd,8.9
81,Hanguk,Sang-Yong Jang,433566477,,,21.29,1 주 4 일,8110,2,2,7,8,4,FALSE,1,9,6,6,5,4,3,939,2018-10-07,4.5,WB,970000,5,3.69,8.19,7.9,7.95,7.61,8.02,8.16,7.49,6.68,6.42,5.31,5.55,5.34,0,WBd,8.19
98,Hanguk,Jae-Ho Boo,438720353,,,17.106,4 일,140,3,1,6,5,20,TRUE,1,3,3,5,3,4,5,510,,,,250000,0,2.36,3.69,3.74,3.61,3.78,3.45,3.58,3.45,3.77,3.47,3.95,3.71,4.13,0,FWtw,4.13
99,Danmark,Torben Boesen,321795066,Head,,41.28,4 주 5 일,100,5,13,5,2,6,FALSE,0,9,0,3,0,0,0,880,2018-06-06,4,WB,396000,79,2.39,4.58,4.14,4.1,3.68,4.04,4.43,3.11,2.2,1.54,1.16,1.07,1.36,0,WBd,4.58
