Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
18,Hanguk,Min-Ho Ji,429263827,Unpredictable,,29.24,3 시즌 14 주 2 일,1040,2,6,7,6,20,TRUE,1,4,5,3,6,6,3,611,2018-10-17,5.5,FW,300000,32,4.06,6.03,6.06,6.19,6.1,6.37,6.16,6.54,6.48,6.96,7.25,7.3,7,0,FWd,7.3
31,Česká republika,,397610518,Head,,31.6,3 시즌 5 주 1 일,10640,3,7,7,6,20,FALSE,1,9,9,1,8,4,4,891,2018-10-17,6.5,IM,1632000,42,4.96,9.01,8.75,9.35,8.53,10.15,9.5,10.15,8.54,9.89,7.22,8.41,6.39,0,CD,10.15
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.73,2 시즌 11 주 1 일,11000,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1150,2018-10-17,4,W,1950000,0,5.11,9.4,8.77,8.89,8.14,9.05,9.34,7.88,6.24,5.81,4.7,0,4.72,4.73,WBd,9.4
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×1,19.53,1 시즌 10 주 2 일,3050,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,904,2018-10-21,4.5,CD,490000,4,4.53,7.93,7.46,7.62,6.99,7.82,7.95,7,5.81,5.65,4.44,4.95,4.34,0,CDtw,7.95
60,Hanguk,Chu-Seok Ahn,435761718,,,19.40,1 시즌 9 주 1 일,1110,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,718,2018-10-21,5,FW,370000,3,2.99,4.88,4.91,5.04,4.95,5.21,5.01,5.38,5.07,5.56,5.99,5.5,5.79,0,FW,5.99
61,Schweiz,Francois Baumgartner,434542904,,Y×1,19.20,1 시즌 9 주 0 일,10400,5,3,6,7,14,FALSE,1,9,7,6,7,6,3,893,2018-10-21,4.5,CD,948000,6,4.03,8.29,8.08,8.19,7.88,8.32,8.33,8,7.37,7.41,6.78,7,6.68,0,CDtw,8.33
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,36.7,1 시즌 8 주 0 일,6200,6,9,7,4,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-17,6.5,W,2208000,93,4.38,9.77,10,10.02,10.23,10.05,9.85,10.52,10.36,10.38,7.32,7.92,7.38,0,IMd,10.61
64,Hanguk,Koo-Joong Kim,435928762,,,19.31,1 시즌 7 주 2 일,5050,3,2,6,7,20,TRUE,1,10,4,3,2,2,3,1013,2018-10-17,5,CD,1130000,3,4.77,8.5,7.95,8.12,7.39,8.34,8.52,7.36,5.71,5.48,4.01,4.16,3.94,0,CDtw,8.52
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.51,12 주 1 일,4570,3,1,6,6,20,TRUE,1,9,3,3,6,5,3,934,2018-10-17,4,WB,670000,0,4.04,7.2,6.69,6.78,6.17,6.91,7.15,5.96,4.92,4.67,4.88,4.9,4.83,0,WBd,7.2
68,Sverige,Elmin Polovina,436113582,,,18.37,8 주 6 일,5940,2,2,8,5,9,FALSE,1,8,7,6,6,5,3,802,2018-10-17,4,CD,564000,0,3.44,7.47,7.35,7.44,7.23,7.56,7.52,7.39,6.89,6.95,6,6.28,5.92,0,CD,7.56
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.85,6 주 5 일,1360,6,1,7,6,8,FALSE,1,5,6,2,6,2,2,704,2018-10-17,2.5,CD,350000,0,2.25,4.51,4.48,4.76,4.46,5.13,4.77,5.29,4.77,5.44,3.77,4.67,3.37,0,IM,5.44
70,Hanguk,Sang-Shik Won,438511569,,,18.54,4 주 1 일,230,6,1,7,6,20,TRUE,1,4,3,6,3,3,2,601,2018-10-21,3,WB,270000,0,2.98,5.01,5.01,4.81,5,4.54,4.82,4.37,4.7,4.09,4.31,4.16,4.64,0,WB,5.01
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.75,3 주 5 일,3040,7,3,4,4,6,FALSE,1,6,8,7,4,5,2,814,2018-10-21,2.5,WB,516000,1,2.05,4.51,4.62,4.64,4.72,4.68,4.57,4.91,4.87,4.99,4.21,4.27,4.19,0,IMd,5.04
72,Hanguk,Hoon Paeng,438720926,Technical,,18.1,2 주 1 일,1410,5,1,6,5,20,TRUE,1,6,6,7,4,2,4,704,2018-10-17,3.5,WB,330000,0,3.11,6.02,6.05,5.99,6.08,5.9,5.97,5.9,5.92,5.63,4.44,0,4.58,4.77,WBo,6.08
73,Hanguk,Ji-Dan Lee,438852692,Technical,,18.40,5 일,290,6,1,6,5,20,TRUE,1,5,5,4,3,2,2,560,2018-10-21,2.5,CD,270000,1,2.8,4.86,4.83,4.89,4.81,4.98,4.91,4.98,4.67,4.74,3.68,0,3.63,3.94,CD,4.98
74,Hanguk,Nam-Han Kim,436538053,,,18.71,2 일,8360,5,2,6,6,2,FALSE,9,4,1,1,1,1,8,921,2018-10-21,3.5,KP,1530000,0,6.53,2.85,2.6,2.64,2.35,2.71,2.82,2.25,1.63,1.47,1.19,1.19,1.19,0,KP,6.53
98,Hanguk,Hyo-Kil Kim,438902137,,,18.66,2 일,110,7,1,6,5,20,TRUE,1,3,4,5,3,3,6,501,,,,270000,0,2.36,3.81,3.92,3.84,4.02,3.74,3.77,3.88,4.16,4.02,3.86,3.86,3.97,0,Wo,4.23
99,Hanguk,In-Guh Park,429263805,,,44.64,3 시즌 14 주 2 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
