Number,Nat,Player,Sp,Stat,Age,TSI,LS,XP,Fo,Stm,StmPr,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,TC,,PH,KP,WB,CD,W,IM,FW,BPo,BPoV,
17,Hanguk,Seung-Mee Kim [playerid=427619249],예측할 수 없음,,34.20,90,2,6,7,5,–,20,True,1,2,4,4,4,7,5,680,2017-07-05 [playerid=427619249],3,IM,300000,6,[playerid=427619249],,[playerid=427619249],3.16,4.44,4.37,5.1,5.3,6.42,FW,6.42,
18,Hanguk,Kwang-Rae Kim [playerid=427619250],헤딩,Y×1,26.41,1100,3,3,6,6,–,20,True,1,2,5,3,6,6,2,655,2017-07-05 [playerid=427619250],5,FW,310000,6,[playerid=427619250],,[playerid=427619250],2.79,4.09,4.3,5.11,5.64,6.09,FWd,6.13,
20,Brasil,Jader da Matta [playerid=427827635],,,31.110,860,4,6,5,6,6.38,6,,2,6,6,5,6,2,5,599,2017-07-02 [playerid=427827635],3,WB,384000,0,[playerid=427827635],,[playerid=427827635],3.39,5.41,5.56,5.4,5.44,4.2,CD,5.56,
21,Belgium,Jitse Haes [playerid=428112207],,,31.39,840,4,5,5,6,6.45,6,,2,6,6,5,6,2,5,598,2017-07-02 [playerid=428112207],2.5,CD,384000,2,[playerid=428112207],,[playerid=428112207],3.32,5.35,5.49,5.33,5.38,4.14,CD,5.49,
22,Nederland,Keith Esser [playerid=428060480],빠름,,31.56,860,5,6,4,6,6.69,6,,2,6,5,6,6,3,6,599,2017-07-02 [playerid=428060480],3,W,372000,0,[playerid=428060480],,[playerid=428060480],3.07,4.87,4.77,4.68,4.44,3.97,WBd,4.92,
23,Belgium,Mathias Piron [playerid=428125893],공 마술사,,32.8,620,6,5,5,6,6.40,6,,2,6,6,6,6,3,6,590,2017-07-05 [playerid=428125893],3,W,372000,1,[playerid=428125893],,[playerid=428125893],3.32,5.48,5.48,5.48,5.4,4.54,CD,5.48,
24,Canada,Philippe Morel [playerid=425173438],예측할 수 없음,,33.22,250,5,5,4,5,5.70,6,,2,6,5,5,6,2,6,591,2017-06-22 [playerid=425173438],2.5,W,360000,1,[playerid=425173438],,[playerid=425173438],2.85,4.43,4.46,4.23,4.12,3.35,CDtw,4.49,
25,Polska,Pylyp Nagorniak [playerid=406205227],,Y×1,26.81,1390,5,2,4,5,–,6,,1,6,7,3,6,3,6,729,2017-07-02 [playerid=406205227],3,IM,444000,1,[playerid=406205227],,[playerid=406205227],1.94,3.95,4.4,4.09,4.56,3.35,IMd,4.58,
26,Türkiye,Türker Arkan [playerid=425734621],,Y×1,32.98,1070,1,6,7,6,6.01,6,,2,6,7,5,6,2,6,680,2017-07-05 [playerid=425734621],4,IM,420000,10,[playerid=425734621],,[playerid=425734621],3.92,6.45,6.75,6.69,6.95,5.12,IMd,6.99,
27,Deutschland,Emil Günther Norbisrath [playerid=428157949],,,17.32,1830,1,1,5,5,5.09,5,,6,2,1,1,1,1,8,641,2017-06-25 [playerid=428157949],1.5,KP,1020000,0,[playerid=428157949],,[playerid=428157949],3.56,1.26,1.29,0.98,0.93,0.85,KP,3.56,
29,Hanguk,Won-Joon Kim [playerid=428342261],,,17.82,260,4,1,6,5,–,20,True,1,2,4,5,2,5,4,574,,,,270000,0,[playerid=428342261],,[playerid=428342261],2.14,3.47,3.26,3.95,3.91,4.37,FWtw,4.48,
99,Hanguk,Je-Min Jung [playerid=427619232] 코치,,,40.97,0,4,8,4,2,–,20,True,0,0,0,0,0,0,2,440,,,,250000,0,[playerid=427619232],,[playerid=427619232],1.33,1.33,1.33,1.33,1.33,1.33,KP,1.33,
