Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
25,Polska,,406205227,,,31.4,4 시즌 8 주 3 일,830,5,3,5,6,20,FALSE,1,6,6,3,6,3,11,606,2018-10-31,4,IM,396000,12,3.04,5.34,5.26,5.45,5.2,5.69,5.49,5.69,5.26,5.22,5.31,5.02,5.61,4.49,5.06,4.24,0,CD,5.69
31,Hanguk,,430626797,,,22.51,3 시즌 12 주 4 일,1120,4,3,5,7,20,TRUE,1,2,5,5,3,7,9,726,2018-10-28,4,FW,390000,28,2.68,3.99,4.23,4.19,4.47,4.13,4.01,4.57,4.69,5.02,5.09,5.05,5.22,5.98,5.46,5.99,0,FWtw,5.99
34,Sverige,,422526443,,,32.26,3 시즌 10 주 3 일,700,5,5,6,6,20,FALSE,2,6,6,2,6,2,9,604,2018-09-23,4,IM,420000,18,4.15,5.96,5.84,6.11,5.74,6.47,6.18,6.47,5.83,5.78,5.91,5.48,6.34,4.72,5.54,4.35,0,CD,6.47
40,Perú,,416567166,,Bru,25.94,3 시즌 6 주 3 일,9130,6,2,6,7,20,FALSE,1,10,8,2,4,4,9,1002,2018-10-28,5.5,CD,1764000,5,4.07,7.99,7.65,8.09,7.34,8.66,8.31,8.36,7,6.62,6.85,5.99,7.4,5.18,5.64,4.66,0,CD,8.66
48,Hanguk,,432205385,Technical,,21.65,3 시즌 0 주 3 일,1140,6,2,6,7,20,TRUE,1,5,4,5,6,5,6,615,2018-10-31,4,FW,290000,14,3.48,5.77,5.71,5.66,5.65,5.59,5.7,5.43,5.63,5.55,5.47,5.66,5.35,5.79,0,5.87,5.86,FWtw,5.87
52,Hanguk,,433454317,Unpredictable,,20.33,2 시즌 12 주 5 일,4910,4,2,5,7,20,TRUE,1,7,7,7,4,5,7,775,2018-10-28,4,CD,550000,16,3.63,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.8,6.75,6.8,6.67,6.68,5.94,5.92,5.99,0,CD,6.97
55,Hanguk,,433728993,,,21.35,2 시즌 9 주 5 일,2130,3,2,6,7,20,TRUE,1,5,6,4,3,7,6,727,2018-10-31,4.5,FW,410000,13,3.48,5.92,5.94,6.07,5.98,6.24,6.04,6.4,5.96,6.02,6.15,5.8,6.45,6.49,6.07,6.32,0,IMd,6.49
61,Oceania,,430364099,Powerful,,20.98,2 시즌 4 주 3 일,6450,3,3,7,7,17,FALSE,1,8,5,7,7,2,7,871,2018-10-31,4,WB,708000,2,4.16,8.15,7.94,7.84,7.71,7.7,8,7.18,7.4,7.04,6.88,7.17,6.38,5.36,6.06,5.59,0,WBd,8.15
65,Hanguk,,434942107,,,19.61,1 시즌 15 주 5 일,3060,3,1,7,6,20,TRUE,1,6,5,4,7,4,5,795,2018-10-31,4.5,W,390000,4,3.47,6.17,6.05,6.14,5.94,6.26,6.22,6.09,5.96,5.85,5.84,5.8,5.95,5.53,5.99,5.4,0,CD,6.26
70,Hanguk,,429263814,,,25.27,1 시즌 11 주 2 일,5870,1,4,7,7,15,FALSE,1,9,6,4,4,2,7,959,2018-10-31,5.5,CD,1030000,2,4.48,8.55,8.21,8.41,7.87,8.68,8.65,8.16,7.38,6.9,6.97,6.56,6.97,4.91,5.48,4.74,0,CD,8.68
72,Hanguk,,435840503,,,19.75,1 시즌 9 주 5 일,1210,3,1,3,6,20,TRUE,1,7,6,4,4,3,7,744,2018-10-10,4,CD,390000,0,2.42,4.5,4.4,4.5,4.31,4.64,4.57,4.54,4.17,4.05,4.1,3.88,4.18,3.25,3.5,3.15,0,CD,4.64
78,Hanguk,,433730490,Technical,,21.56,9 주 2 일,4530,4,2,6,8,9,FALSE,1,9,3,5,1,3,6,960,2018-10-31,4.5,WB,1270000,4,3.66,7.25,6.78,6.73,6.29,6.67,7.08,5.67,5.35,4.54,4.41,4.43,3.82,3.31,0,3.55,2.9,WBd,7.25
79,España,,415605434,,Y×2,26.0,6 주 4 일,26270,5,5,7,7,8,FALSE,1,8,11,3,9,2,6,1097,2018-10-28,6.5,IM,4116000,22,3.99,8.32,8.34,8.9,8.4,9.64,8.85,10.16,8.86,9.14,9.52,8.5,10.54,6.71,8.51,5.92,0,IMd,10.56
80,Andorra,,427020395,Technical,,27.58,5 주 0 일,16290,6,6,7,7,7,FALSE,1,9,6,8,7,4,10,1001,2018-10-28,5,WB,1260000,29,4.31,8.96,8.75,8.64,8.52,8.51,8.81,7.99,8.14,7.76,7.62,7.86,7.13,6.4,0,6.63,6.83,WBd,8.96
81,Hanguk,,433566477,,,21.50,4 주 4 일,7020,2,2,5,8,6,FALSE,1,9,6,6,5,4,5,931,2018-10-28,4,WB,970000,5,3.21,7.03,6.78,6.83,6.54,6.89,7.01,6.43,6.13,5.75,5.72,5.62,5.53,4.58,4.79,4.61,0,WBd,7.03
82,Hanguk,,438852209,,,17.65,2 주 1 일,1220,4,1,4,5,20,TRUE,5,3,1,2,1,1,2,596,2018-10-28,2,KP,750000,0,3.7,2.51,2.4,2.38,2.29,2.34,2.45,2.1,2.1,1.92,1.87,1.93,1.71,1.64,1.6,1.71,0,KP,3.7
83,Hanguk,,434869614,Unpredictable,,20.47,1 주 5 일,2740,2,1,7,7,4,FALSE,1,8,5,4,5,4,2,804,2018-10-28,4,CD,390000,9,2.94,6.5,6.19,6.31,5.88,6.48,6.54,5.96,5.5,5.07,5.06,4.88,5.05,4.27,4.5,4.16,0,CDtw,6.54
98,Hanguk,,438979591,,,18.29,5 일,1620,5,1,6,5,20,TRUE,6,3,1,1,1,1,1,606,,,,850000,0,5.08,2.95,2.8,2.83,2.64,2.87,2.94,2.58,2.42,2.19,2.16,2.13,2.09,1.91,1.91,1.91,0,KP,5.08
99,Danmark,,321795066,Head,,41.49,7 주 4 일,70,5,13,5,1,8,FALSE,0,8,0,3,0,0,0,782,2018-06-06,4,WB,396000,79,2.07,3.86,3.51,3.46,3.15,3.4,3.72,2.65,2.53,1.95,1.83,1.94,1.39,1.11,1.02,1.29,0,WBd,3.86
