Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,FALSE,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
43,Hanguk,Ji-Soo Kim,433466579,Technical,,20.81,2 시즌 12 주 2 일,10960,3,2,6,7,20,TRUE,1,11,4,4,3,3,3,1149,2018-10-24,4.5,W,1950000,0,5.11,9.4,8.77,8.89,8.14,9.05,9.34,7.88,6.24,5.81,4.7,0,4.72,4.73,WBd,9.4
59,Hanguk,Hyung-Hwa Jung,435660098,,Y×2,19.61,1 시즌 11 주 2 일,3270,5,2,6,7,20,TRUE,1,9,4,3,5,2,6,908,2018-10-28,4.5,CD,490000,5,4.53,7.93,7.46,7.62,6.99,7.82,7.95,7,5.81,5.65,4.44,4.95,4.34,0,CDtw,7.95
60,Hanguk,Chu-Seok Ahn,435761718,,,19.48,1 시즌 10 주 2 일,1120,3,1,7,6,20,TRUE,1,4,5,3,3,7,5,720,2018-10-28,5,FW,370000,3,2.99,4.88,4.91,5.04,4.95,5.21,5.01,5.38,5.07,5.56,5.99,5.5,5.79,0,FW,5.99
61,Schweiz,Francois Baumgartner,434542904,,Y×1,19.28,1 시즌 10 주 0 일,11120,5,3,7,7,15,FALSE,1,9,7,6,7,6,3,895,2018-10-28,5,CD,948000,6,4.4,8.98,8.76,8.87,8.54,9.02,9.03,8.67,8,8.04,7.35,7.59,7.25,0,CDtw,9.03
63,Hellas,Damianos Yiannopoulos,377705560,Unpredictable,,36.15,1 시즌 9 주 1 일,5750,6,9,6,4,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-24,6,W,2208000,93,4.02,8.98,9.19,9.21,9.4,9.23,9.05,9.66,9.52,9.53,6.73,7.27,6.78,0,IMd,9.75
64,Hanguk,Koo-Joong Kim,435928762,,,19.39,1 시즌 8 주 2 일,5650,3,2,6,7,20,TRUE,1,10,4,3,2,2,3,1030,2018-10-24,5,CD,1130000,3,4.78,8.52,7.96,8.13,7.4,8.35,8.53,7.38,5.72,5.49,4.01,4.16,3.95,0,CDtw,8.53
67,Hanguk,Hae-Won Kim,437472967,,Y×1,19.59,13 주 2 일,4650,3,1,5,6,20,TRUE,1,9,3,3,6,5,3,955,2018-10-24,4,WB,670000,0,3.71,6.61,6.14,6.22,5.67,6.34,6.56,5.47,4.52,4.29,4.48,4.5,4.43,0,WBd,6.61
68,Sverige,Elmin Polovina,436113582,,,18.45,10 주 0 일,6330,2,2,8,5,9,FALSE,1,8,7,6,6,5,3,804,2018-10-24,4,CD,564000,0,3.47,7.53,7.4,7.49,7.28,7.62,7.58,7.45,6.95,7,6.05,6.33,5.97,0,CD,7.62
69,Hanguk,Seung-Chul Ki,437963734,Unpredictable,,17.93,7 주 6 일,1490,6,1,8,6,8,FALSE,1,5,6,2,6,2,2,715,2018-10-24,2.5,CD,350000,0,2.34,4.69,4.66,4.95,4.64,5.33,4.95,5.5,4.96,5.66,3.92,4.85,3.5,0,IM,5.66
70,Hanguk,Sang-Shik Won,438511569,,TL,18.62,5 주 2 일,260,6,1,7,6,20,TRUE,1,4,3,6,3,3,2,604,2018-10-21,3,WB,270000,0,1.65,3.68,3.68,3.48,3.67,3.21,3.49,3.04,3.38,2.76,2.98,2.83,3.31,0,WB,3.68
71,Schweiz,Nathanael Zimmer,436514697,Head,,18.83,4 주 5 일,3400,7,3,4,5,7,FALSE,1,6,8,7,4,5,2,818,2018-10-28,2.5,WB,516000,2,2.08,4.55,4.65,4.68,4.76,4.71,4.6,4.94,4.9,5.02,4.24,4.3,4.22,0,IMd,5.07
72,Hanguk,Hoon Paeng,438720926,Technical,,18.9,3 주 2 일,1530,5,1,6,5,20,TRUE,1,6,6,7,4,2,4,722,2018-10-24,3.5,WB,330000,0,3.13,6.08,6.11,6.04,6.13,5.96,6.03,5.96,5.98,5.68,4.48,0,4.63,4.82,WBo,6.13
73,Hanguk,Ji-Dan Lee,438852692,Technical,,18.48,1 주 6 일,330,6,1,6,6,20,TRUE,1,5,5,4,3,2,2,558,2018-10-28,2.5,CD,270000,1,2.98,5.17,5.14,5.21,5.12,5.3,5.23,5.3,4.98,5.05,3.92,0,3.87,4.2,CD,5.3
74,Hanguk,Nam-Han Kim,436538053,,,18.79,1 주 3 일,7790,5,2,5,6,4,FALSE,9,4,1,1,1,1,8,928,2018-10-21,3.5,KP,1530000,0,6.05,2.68,2.45,2.5,2.23,2.55,2.66,2.13,1.57,1.42,1.16,1.16,1.16,0,KP,6.05
75,Hanguk,Ho-Yeon Son,438979409,Head,,18.45,2 일,420,4,1,6,5,20,TRUE,1,3,3,7,3,3,6,707,2018-10-28,2.5,WB,330000,0,2.36,3.93,4.03,3.78,4.12,3.45,3.72,3.45,4.09,3.45,3.82,3.65,4.19,0,Wo,4.37
98,Hanguk,Hyo-Kil Kim,438902137,,,18.74,1 주 2 일,110,7,1,6,5,20,TRUE,1,3,4,5,3,3,6,501,,,,270000,0,2.36,3.81,3.92,3.84,4.02,3.74,3.77,3.88,4.16,4.02,3.86,3.86,3.97,0,Wo,4.23
99,Hanguk,In-Guh Park,429263805,,,44.72,3 시즌 15 주 2 일,0,3,6,3,1,20,TRUE,0,0,0,0,0,0,0,340,,,,250000,0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0,KP,0.97
