Number,Nat,Player,PlayerID,Special,Stat,Age,Since,TSI,LS,XP,Fo,Stm,Lo,MB,KP,DF,PM,WI,PS,SC,SP,Psico,Last,Rt,Pos,Wage,G,KPPos,WBdPos,WBPos,WBtmPos,WBoPos,CDPos,CDtwPos,CDoPos,WdPos,WPos,WtmPos,WoPos,IMPos,FWPos,FWdPos,FWtwPos,TDFPos,BPo,BPoV
61,Schweiz,,434542904,,Y×1,19.33,1 시즌 10 주 6 일,11770,5,3,7,7,15,FALSE,1,9,7,6,7,6,3,898,2018-11-04,5,CD,948000,7,4.33,8.84,8.62,8.73,8.41,8.88,8.89,8.53,8.16,7.87,7.88,7.72,7.91,7.24,7.47,7.13,0,CDtw,8.89
63,Hellas,,377705560,Unpredictable,,36.20,1 시즌 9 주 6 일,5570,6,9,6,4,14,FALSE,1,9,12,11,4,3,14,1180,2018-10-31,6,W,2208000,93,3.99,8.91,9.12,9.14,9.33,9.16,8.99,9.59,9.22,9.45,9.63,9.24,9.46,6.68,7.22,6.73,0,IMtw,9.68
64,Hanguk,,435928762,,,19.44,1 시즌 9 주 1 일,6190,3,2,7,7,20,TRUE,1,10,4,3,2,2,3,1033,2018-10-31,5,CD,1130000,3,5.15,9.19,8.59,8.77,7.99,9.02,9.2,7.96,7.07,6.17,6.15,5.8,5.93,4.33,4.49,4.26,0,CDtw,9.2
67,Hanguk,,437472967,,Y×1,19.64,14 주 0 일,4790,3,1,5,6,20,TRUE,1,9,3,3,6,5,3,962,2018-10-31,4,WB,670000,0,3.72,6.63,6.16,6.24,5.68,6.36,6.58,5.49,5.19,4.53,4.41,4.44,4.3,4.5,4.51,4.45,0,WBd,6.63
68,Sverige,,436113582,,,18.50,10 주 5 일,6720,2,2,8,6,10,FALSE,1,8,7,6,6,5,3,804,2018-10-31,4,CD,564000,0,3.54,7.62,7.5,7.59,7.38,7.71,7.68,7.54,7.21,7.04,7.08,6.89,7.1,6.14,6.42,6.06,0,CD,7.71
69,Hanguk,,437963734,Unpredictable,,17.98,8 주 4 일,1600,6,1,8,6,9,FALSE,1,6,6,2,6,2,2,686,2018-10-31,2.5,CD,350000,0,2.67,5.4,5.26,5.57,5.15,5.98,5.65,5.98,5.25,5.2,5.35,4.86,5.84,3.98,4.92,3.56,0,CD,5.98
71,Schweiz,,436514697,Head,,18.88,5 주 3 일,4050,7,3,5,5,7,FALSE,1,7,8,7,4,5,2,801,2018-11-04,3,WB,516000,2,2.58,5.68,5.73,5.77,5.78,5.83,5.73,5.96,5.69,5.73,5.83,5.59,5.83,4.86,4.92,4.83,0,Cdo,5.96
72,Hanguk,,438720926,Technical,,18.14,4 주 0 일,1470,5,1,5,5,20,TRUE,1,6,6,7,4,2,4,743,2018-10-31,3.5,WB,330000,0,2.89,5.61,5.63,5.57,5.66,5.49,5.56,5.49,5.53,5.51,5.51,5.52,5.24,4.13,0,4.27,4.44,WBo,5.66
73,Hanguk,,438852692,Technical,,18.53,2 주 4 일,370,6,1,6,6,20,TRUE,1,5,5,4,3,2,2,577,2018-11-04,3,CD,270000,1,2.98,5.17,5.14,5.21,5.12,5.3,5.23,5.3,5.02,4.98,5.04,4.84,5.05,3.92,0,3.87,4.2,CD,5.3
74,Hanguk,,436538053,,,18.84,2 주 1 일,7400,5,2,5,6,5,FALSE,9,4,1,1,1,1,8,915,2018-10-21,3.5,KP,1530000,0,6.09,2.72,2.49,2.54,2.26,2.59,2.7,2.17,1.94,1.61,1.57,1.52,1.46,1.2,1.2,1.2,0,KP,6.09
75,Hanguk,,438979409,Head,,18.50,1 주 1 일,450,4,1,6,5,20,TRUE,1,3,3,7,3,3,6,719,2018-11-04,2.5,WB,330000,0,2.36,3.93,4.03,3.78,4.12,3.45,3.72,3.45,4.04,4.09,3.96,4.37,3.45,3.82,3.65,4.19,0,Wo,4.37
98,Hanguk,,438902137,,,18.79,2 주 1 일,110,7,1,6,5,20,TRUE,1,3,4,5,3,3,6,501,,,,270000,0,2.36,3.81,3.92,3.84,4.02,3.74,3.77,3.88,4.05,4.16,4.16,4.23,4.02,3.86,3.86,3.97,0,Wo,4.23
99,Hanguk,,429263805,,,44.77,4 시즌 0 주 1 일,0,3,6,4,1,20,TRUE,0,0,0,0,0,0,0,440,,,,250000,0,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,0,KP,1.13
